text,Lemma,Polarity,Analysis,Vader Sentiment,Vader Analysis,SWN analysis,Berta
"27 September,""Hi love, I want you to know how proud I am of you. I am proud of me. Finally reaching out. Lets see how this treats you and how the anti depressants work. Over the last week I have been trying to look after myself better. I was very honest with Amy. I cried but I didn’t weep. Its okay to weep but I am on a journey of control. To regain myself. To love and cherish the one that I am, and to accept her with all her flaws. Til the age of 23 I have endured a lot and will encounter more no doubt, but as we move I embrace my true whole being as mine. I think this BS app Jonny showed me is working, Amy said she doesn’t think I have Bipolar and BPD isn’t screaming at her. She thinks the manic episodes come from repression of my depression. I don’t think I quite remembered that right. She thinks I might have pTSD, which would make sense but I don’t have the nightmares anymore but I am definitely depressed. I think that’s okay. Shes gonna call me on Tuesday to let me know. I’m gonna be at uni but that should be fine. I’ve been listening to a Stephen fry interview and he as the wonderful human being seems has also been through a lot of mental health issues. Going to see Dariana later.Can’t wait. Love Anna xx How I am going to cut down my drinking Only drink twice a week Plan when I’m gonna leave (set an alarm) Use a drinking diary Eat Don’t pre drink Stick to singles What might help Having a nighttime routine Plan activities Don’t be scared to say no Focus on the other people there Stephen Fry – ‘Artists are special, arts is special, it does special things’""",  September Hi love want know proud proud Finally reach Lets see treat anti depressant work last week try look good honest Amy cry weep okay weep journey control regain love cherish one accept flaw Til age endure lot encounter doubt move embrace true whole mine think BS app Jonny show work Amy say think Bipolar BPD screaming think manic episode come repression depression think quite remember right think might pTSD would make sense nightmare anymore definitely depressed think okay Shes gon na call Tuesday let know gon na uni fine listen Stephen fry interview wonderful human seem also lot mental health issue Going see Dariana later wait Love Anna xx go cut drink drink twice week Plan gon na leave set alarm Use drinking diary Eat pre drink Stick single might help nighttime routine Plan activity scar say Focus people Stephen Fry Artists special art special special thing,0.3563492063492064,Positive,0.9761,Positive,Positive,"[{'label': 'love', 'score': 0.49028846621513367}]"
"29 September,""Dear Anna,Yesterday was a great day. I went to uni, we made inflatables. Jonny, Lily and I made an inflatable tube to help people in the room become better friends obvs the only people who were in the tube were us 3 and we’re all friends now. After that me and Jonny had dinner and the headed to the boys house. There I saw Jacob, Yaz, Camo, Phoenix and Dairana. Of course Nico too <3. I was very happy to be there and see everyone. I got a bit loud and angsty but not too bad. Jacob wound me up a nit and I wanted to get angry  but he wasn’t doing anuthing wrong. I think I am a bit sensitive because I want to spend more time with him but I feel good about where were at at the moment. I want to plan the weekend a bit so I don’t get too lonely or overwhelmed. Friday Charity shops Read Exercise Research Cook dinner Watch film Saturday Walk Gallery Art Get Camo a present Sunday Camo’s birthday""",  September Dear Anna Yesterday great day go uni make inflatables Jonny Lily make inflatable tube help people room become good friend obvs people tube us friend Jonny dinner head boy house saw Jacob Yaz Camo Phoenix Dairana course Nico happy see everyone get bit loud angsty bad Jacob wound nit want get angry anuthing wrong think bit sensitive want spend time feel good moment want plan weekend bit get lonely overwhelm Friday Charity shop Read Exercise Research Cook dinner Watch film Saturday Walk Gallery Art Get Camo present Sunday Camo birthday,0.12727272727272726,Positive,0.9423,Positive,Positive,"[{'label': 'joy', 'score': 0.49575939774513245}]"
"30 September,""Dear Anna,You deserve endless love and happiness. Yesterday I went over to Camo’s we had falafel wraps for dinner with Phoenix. We smoked and watched TV. Pheny lay on kme as I stroked her hair. Iwas low and didn’t feel very present. This morning Camo + I cleaned because his family came round to celebrate his birthday. I called Jacob to try and arrange this spar day, he hasn’t got a clue how to put together a lego set let alone a party. I tried to not get to involved and Jacob tried to too. I wish sometimes we could speak for hours how we used to. I’m lucky to have those north acton memories. I am so grateful to be so welcomed into Camo’s family. I deserve endless love and happiness. Anna x""",  September Dear Anna deserve endless love happiness Yesterday go Camo falafel wrap dinner Phoenix smoke watch TV Pheny lay kme stroke hair Iwas low feel present morning Camo clean family come round celebrate birthday call Jacob try arrange spar day get clue put together lego set let alone party try get involve Jacob try wish sometimes could speak hour use lucky north acton memory grateful welcomed Camo family deserve endless love happiness Anna x,0.2409090909090909,Positive,0.9873,Positive,Positive,"[{'label': 'love', 'score': 0.8845581412315369}]"
"1 October,""Cameron’s Birthday I’m super excited for today but anxious. I mean I have nothing to worry about because I’m surrounded by good people. Todau, I’m choosing to focus on the positives and remember to take deep breathes. I’m worried that Jacob might do something to hurt me, which is silly because he hasn’t yet and he won’t.""",  October Cameron Birthday super excite today anxious mean nothing worry surround good people Todau choose focus positive remember take deep breathes worried Jacob might something hurt silly yet,0.02830086580086579,Positive,0.6249,Positive,Positive,"[{'label': 'nervousness', 'score': 0.5887872576713562}]"
"2 October,""Drunk Poem: FFS Do I love him? I don’t deserve this What I thought would happen What a prickWe didn’t ruse to this wellRise tomorrow but neverFor him Its so easy to give up Drawing on the train Bus CarWill be a lovely memorySomedayLike Dad’s crossword girlfriendDifferentNarrativeAlternative Life He doesn’t even realise, A mistake A loss – the will never win.""",  October Drunk Poem FFS love deserve think would happen prickWe ruse wellRise tomorrow neverFor easy give Drawing train Bus CarWill lovely memorySomedayLike Dad crossword girlfriendDifferentNarrativeAlternative Life even realise mistake loss never win,0.10666666666666666,Positive,-0.4224,Neutral,Positive,"[{'label': 'love', 'score': 0.5628534555435181}]"
"3 October,""Dear Anna I’m struggling to journal today, I think I feel low today and that’s why. I’m going to start with the positives. I saw Tom and Amy yesterday, I’m so happy that were friends outside of work. Both of them are really important to me. Tom is so kind and protective and Amy is really compassionate and just understand me. I’m a little upset about how they were speaking about Paris, I’m going yo text her soon and go fro a drink. I feel like it might cause some drama but it sounds like she needs a friend. Uni is going really weel, I’m super engaged and I’m really excited I also got two A’s in my last project from 2nd Year. Which is great and Liverpool womens beat Arsenal on Sunday which is crazy! It would be silly to not admit that I feel low today because I’ve drank the last two nights and Friday I stayed at Camos too. But really I think I’m still sad about Jacob, its annoying because I don’t want it to be an issue. But my feelings are valid. It made me feel sad seeing Jacob talking to Sinead, not because either are in the wrong, if something happened with them, then II would be so angry. I know I’m not over Jacob yet and that’s fine. I want him to be happy, I think I’m scared he doesn’t have respect for me. I might talk to him about this. I’m going to try to understand why I feel like this because its been playing on my mind. To be fair its been really intrusive thoughts and that’s not what I want. Both me and Jacob have really been trying hard to be friends and I really apricate that. He also looked a little down at the party, I dunno if he was tired but it didn’t  look like it. I’ll remember to ask him on Friday. I think he struggles to see me and Tom be friends, it came up when we were together too. Looks like a lot of the reasons why I feel down could be resolved a bit if I spoke to Jacob about it. This is what I struggles with before because I miss having him around as a mate. I also really really miss Svenny at the moment, hopefully we can call soon. I’m gonna fill out my calendar for this month and I think it will make me feel better. Growth is uncomfortable but I am strong enough  love you – Anna""",  October Dear Anna struggle journal today think feel low today go start positive saw Tom Amy yesterday happy friend outside work really important Tom kind protective Amy really compassionate understand little upset speak Paris go yo text soon go fro drink feel like might cause drama sound like need friend Uni go really weel super engage really excite also get two last project nd Year great Liverpool womens beat Arsenal Sunday crazy would silly admit feel low today drink last two night Friday stay Camos really think still sad Jacob annoying want issue feeling valid make feel sad see Jacob talk Sinead either wrong something happen II would angry know Jacob yet fine want happy think scar respect might talk go try understand feel like play mind fair really intrusive thought want Jacob really try hard friend really apricate also look little party dunno tire look like remember ask Friday think struggle see Tom friend come together Looks like lot reason feel could resolve bit speak Jacob struggle miss around mate also really really miss Svenny moment hopefully call soon gon na fill calendar month think make feel good Growth uncomfortable strong enough love Anna,0.09589314194577354,Positive,0.9956,Positive,Positive,"[{'label': 'sadness', 'score': 0.5233774781227112}]"
"5 October,""Today is Mum’s Birthday, I think She’s 61. I missed yesterday’s journaling because when I woke up I still felt down but Welsh Daisy was in our house about the spare room, I saw her, spoke to Beth and went into Camberwell to do some uni work. I got all my results back, all A’s. I’m so proud of myself. I worked really hard last year, even with all my mental health problems. I’m not sure if it was worth all the tears but still, very proud. Maybe I’ll get a first. Even if I don’t, I have learnt so much and found new passions. Young Anna would be so surprised that I’ve been coding. And I love it. I want to code something for my phone which will help me when I feel anxious. I feel a lot better today, I think because I saw Camo yesterday, I went to his for film club and he chose a straight film, WTF. What else has been going on? I felt anxious speaking in class today but it was actually really good. But I think I should work on it more because I have really interesting theories and its one of the reasons, I’m doing the diploma. I’ll work on it, its only the second week I’m not going to be too harsh on myself actually. I still feel overly attached to everyone but I actually want a bit of a chill birthday so it doesn’t matter too much if theyre not all there. I’m seeing Jacob tomorrow. I don’t know if I’ll tell him how I felt at the start of the week, probably depends how anxious I feel. Anyway, I love you, keep it up gurlie,Anna <3""",  October Today Mum Birthday think miss yesterday journaling wake still felt Welsh Daisy house spare room saw speak Beth go Camberwell uni work get result back proud work really hard last year even mental health problem sure worth tear still proud Maybe get first Even learn much find new passion Young Anna would surprised cod love want code something phone help feel anxious feel lot well today think saw Camo yesterday go film club choose straight film WTF else go felt anxious speaking class today actually really good think work really interesting theory one reason diploma work second week go harsh actually still feel overly attach everyone actually want bit chill birthday matter much theyre see Jacob tomorrow know tell felt start week probably depend anxious feel Anyway love keep gurlie Anna,0.14609988776655444,Positive,0.9575,Positive,Positive,"[{'label': 'nervousness', 'score': 0.8986487984657288}]"
"6 October,""Today is a new day. I woke up early this morning and went to play football with Jacob, he was waiting at Pear Tree for me, We walked around the pond and he kicked shit (literally) It was nice catching up with uni and he asked about my results. He seems interested in what I’m up to and I showed him ‘Strandbeest’. I hit the crossbar which I’ve been trying to do since we started playing football together and I even managed a few keepie uppies! We spent about 3 hours together and for once actually spoke about the break up and how it is being friends. I told him about Sinead and how it made me feel. He told me I should have just joined their conversation.Anna, I want you to remember what he said: ‘I will never try to hurt you’Even if he doesn’t stick to it he has told you, and when we have nothing we have our word. We argued a little but that is very normal for us. I think hes probably in the same place I am, just getting over the break up. He wants to give me my things back. Posters, yes. My orange painting, a plate my dad made + something else (…) He doesn’t want the painting to throw it away. He doesn’t want to bin it, but I said to put it in a box or in a bottle and throw it in the thames. I think he might do the latter. We spoke a lot about mental health etc and film club. I felt really good learning anf the sun was shining. I hope hes doing okay, he has his own mental health issues going on and he’ll talk about them when he’s ready. I still love him, but as a friend we spoke about dating other people and he told me he’s not ready to date yet but maybe for his gig hes going to. Once I got home I ate lunch and then my therapist called, she told me that she spoke to her supervisor and they want me to fill out a form to see if I have PTSD. She also wants me to go on the waiting list for CBT, which is 6 months long. Before that I’m going to partake in group therapy called ‘Overcoming Depression’ and can’t go to the in person sessions so its online at 10:30 on Fridays so I’m going to do 4 of them and check in again. I feel positive about it actually, it’s a long wait and I 6 months is the kind of deadline I gave myself to get better, but if it takes longer I am in no rush. I’m finally put my mental health first for me and it feels really good.n Lets see how it comes, I’m just taking each day one by one. Phoenix is gonna stay over tonight so I’m gonna clean my room. Today went exactly how I expected, maybe even better. love you (and I mean it) Don’t forget what I told you today, Lots of love Anna x""",  October Today new day wake early morning go play football Jacob wait Pear Tree walk around pond kick shit literally nice catch uni ask result seem interested show Strandbeest hit crossbar try since start play football together even manage keepie uppies spend hour together actually speak break friend tell Sinead make feel tell join conversation Anna want remember say never try hurt Even stick tell nothing word argue little normal us think he probably place get break want give thing back Posters yes orange paint plate dad make something else want painting throw away want bin say put box bottle throw thames think might latter speak lot mental health etc film club felt really good learning anf sun shin hope he okay mental health issue go talk ready still love friend speak date people tell ready date yet maybe gig he go get home eat lunch therapist call tell speak supervisor want fill form see PTSD also want go wait list CBT month long go partake group therapy call Overcoming Depression go person session online Fridays go check feel positive actually long wait month kind deadline give get well take longer rush finally put mental health first feel really good n Lets see come take day one one Phoenix gon na stay tonight gon na clean room Today go exactly expect maybe even well love mean forget tell today Lots love Anna x,0.1876767676767677,Positive,0.9955,Positive,Positive,"[{'label': 'neutral', 'score': 0.4985107481479645}]"
"7 October,""Dear Anna I am a priority in my life. My health and healing matter. I went out drinking last night, it was kinda worthless, I dunno I had 3 pints andI was a bit drunk but I would have enjoyed it the same if I was sober. I need to take better action in sobriety but I’m gonna start after my birthday. Drinking turns me into a kinda nasty person, not so bad I’ll give myself credit but I want to exsude more positive energy and I don’t think drinking helps with that but it’s a week until I can take a break. I want to redirect my internal dialogue back to myself again. I matter.Anyway, I love you, Enjoy your day, Anna X""",  October Dear Anna priority life health heal matter go drinking last night kinda worthless dunno pint andI bit drunk would enjoy sober need take good action sobriety gon na start birthday Drinking turn kinda nasty person bad give credit want exsude positive energy think drink help week take break want redirect internal dialogue back matter Anyway love Enjoy day Anna X,-0.04090909090909089,Negative,0.9464,Positive,Positive,"[{'label': 'joy', 'score': 0.8899754881858826}]"
"8 October,""Dear Anna,I’m struggling to get out of bed today. Its not too too bad because I already ate. But I cried this morning thinking about what would happen if he showed up on my birthday. Which is silly because he probably doesn’t know its my birthday and definitely doesn’t know where I live. He won’t be there and if he is its gonna be okay, I won’t be alone and I am strong enough to handle any situation thrown at me. Tomorrow is gonna be a good day surrounded by people you love and that love you. I really liked one of my affirmations today ‘I am perfect for myself, I don’t need to be perfect for anyone else’ I really want to be happy with myself. I caught myself over the weekend being nasty about the way I look and being self conscious about it. But am I beautiful. I have lovely skin, gorgeous eyes, perfectly messy hair and cute lil cheeks. My body is perfect the way it is and strong. My body holds me and comforts me and moves me through every experience my body has been there, it is scared by the good and the bad but it is mine and it is perfect. That was so easy to write compared to the 16th September. I had a really good time with Paris lasy night but I feel a bit depressed today. I think its because of the drinks.I love you Anna,Lets talk later X """,  October Dear Anna struggle get bed today bad already eat cry morning think would happen show birthday silly probably know birthday definitely know live gon na okay alone strong enough handle situation throw Tomorrow gon na good day surround people love love really like one affirmation today perfect need perfect anyone else really want happy catch weekend nasty way look self conscious beautiful lovely skin gorgeous eye perfectly messy hair cute lil cheek body perfect way strong body hold comfort move every experience body scar good bad mine perfect easy write compare th September really good time Paris lasy night feel bit depressed today think drink love Anna Lets talk later X,0.3318181818181818,Positive,0.9958,Positive,Positive,"[{'label': 'love', 'score': 0.9307993650436401}]"
"11 October,""Dear Anna, I had such a good birthday, I’m now 24! 25 next year WTF.  My birthday did feel kind of strange. I think it’s because I’m not super close with my new housemates. The night before and morning of felt a bit sombre. But I went to uni, saw Jonny, then Yaz, Phoenix and Camo joined us + Lily. We went pub hopping. Dariana, Sinead and Jacob joined us. Then Parris, Amy + Tom after. We came back to mine, and they sang me happy birthday. I have lots of friends, they love me.I feel a bit numb about it. Anna""",  October Dear Anna good birthday next year WTF birthday feel kind strange think super close new housemate night morning felt bit sombre go uni saw Jonny Yaz Phoenix Camo join us Lily go pub hopping Dariana Sinead Jacob join us Parris Amy Tom come back mine sing happy birthday lot friend love feel bit numb Anna,0.17451790633608813,Positive,0.9616,Positive,Positive,"[{'label': 'excitement', 'score': 0.7364389300346375}]"
"13 October,""Dear Anna,I think I had abit of the birthday blues. Me + Camo stayed at Phoenixs last night, it does make me feel better waking up with someone else there but I don’t want it to become a necessity. Later on I’m going to nico’s leaving drinks but first I have a lot to do because I’m off to scouseland tomorrow. Friday to do""",  October Dear Anna think abit birthday blues Camo stay Phoenixs last night make feel well wake someone else want become necessity Later go nico leave drink first lot scouseland tomorrow Friday,0.08333333333333333,Positive,0.5859,Positive,Positive,"[{'label': 'neutral', 'score': 0.9958082437515259}]"
"14 October,""Dear Anna, I’m on my way to Liverpool, I’m excited to see her. Mom message to tell me her friend poppy isn't doing well at the moment. So we'll see what happens when I'm there. I saw Jacob yesterday and we had a brew and a chat before we went to nico's drinks. We were an hour and a half later and phoenix asked if we'd ******* which I thought was funny because it wasn't anything like that. We actually had a really nice time and talked about the break up a bit. He is a very important part of my life and I hope he knows that. Anyway enjoy Liverpool you deserve to have some fun I love you Anna""",  October Dear Anna way Liverpool excited see Mom message tell friend poppy well moment see happen saw Jacob yesterday brew chat go nico drink hour half later phoenix ask think funny anything like actually really nice time talk break bit important part life hope know Anyway enjoy Liverpool deserve fun love Anna,0.29537037037037034,Positive,0.9851,Positive,Positive,"[{'label': 'joy', 'score': 0.7870728373527527}]"
"15 October,""match day Dear Anna, how you feeling today? Confused? Yeah me too. Had a lovely time in Liverpool, i really needed that break from london. It was really nice to see my sister in such a better place. Friends are really nice, even if I think they take the **** out of eccentricities. Liz I can tell is a really good friend and Anna too. My sister really cares for me she said she told her therapist but i want she wants to fix mine and my mom's relationship which was really hard to hear because it's complicated and I think I want it fixed to. Strange how a year ago I wanted to cut all ties. I have really ground so much recently. I am committed to the path of self love and self happiness. I also really wish Jacob was around. I'm stuck in in a state of moving on and wanting to fall in love with him again. I can't work out if it's him or the idea of him. I wish i knew where his head is at about it all of this. I'm going to redirect this energy in full falling in love with my beautiful self. Something I realised recently is that I will have to forgive (him) at some point to move on. And i'm not sure how too. I don't think he deserves forgiveness but I deserve peace for love and happiness. I deserve. I love. You. Wholly,Anna""",  October match day Dear Anna feel today Confused Yeah lovely time Liverpool really need break london really nice see sister good place Friends really nice even think take eccentricity Liz tell really good friend Anna sister really care say tell therapist want want fix mine mom relationship really hard hear complicate think want fix Strange year ago want cut tie really grind much recently commit path self love self happiness also really wish Jacob around stick state move want fall love work idea wish know head go redirect energy full fall love beautiful self Something realise recently forgive point move sure think deserve forgiveness deserve peace love happiness deserve love Wholly Anna,0.36493055555555554,Positive,0.9975,Positive,Positive,"[{'label': 'love', 'score': 0.9179263710975647}]"
