Data,Entry
29 September,"Dear Anna,Yesterday was a great day. I went to uni, we made inflatables. Jonny, Lily and I made an inflatable tube to help people in the room become better friends obvs the only people who were in the tube were us 3 and we’re all friends now. After that me and Jonny had dinner and the headed to the boys house. There I saw Jacob, Yaz, Camo, Phoenix and Dairana. Of course Nico too <3. I was very happy to be there and see everyone. I got a bit loud and angsty but not too bad. Jacob wound me up a nit and I wanted to get angry  but he wasn’t doing anuthing wrong. I think I am a bit sensitive because I want to spend more time with him but I feel good about where were at at the moment. I want to plan the weekend a bit so I don’t get too lonely or overwhelmed. Friday Charity shops Read Exercise Research Cook dinner Watch film Saturday Walk Gallery Art Get Camo a present Sunday Camo’s birthday"
30 September,"Dear Anna,You deserve endless love and happiness. Yesterday I went over to Camo’s we had falafel wraps for dinner with Phoenix. We smoked and watched TV. Pheny lay on kme as I stroked her hair. Iwas low and didn’t feel very present. This morning Camo + I cleaned because his family came round to celebrate his birthday. I called Jacob to try and arrange this spar day, he hasn’t got a clue how to put together a lego set let alone a party. I tried to not get to involved and Jacob tried to too. I wish sometimes we could speak for hours how we used to. I’m lucky to have those north acton memories. I am so grateful to be so welcomed into Camo’s family. I deserve endless love and happiness. Anna x"
1 October,"Cameron’s Birthday I’m super excited for today but anxious. I mean I have nothing to worry about because I’m surrounded by good people. Todau, I’m choosing to focus on the positives and remember to take deep breathes. I’m worried that Jacob might do something to hurt me, which is silly because he hasn’t yet and he won’t."
2 October,"Drunk Poem: FFS Do I love him? I don’t deserve this What I thought would happen What a prickWe didn’t ruse to this wellRise tomorrow but neverFor him Its so easy to give up Drawing on the train Bus CarWill be a lovely memorySomedayLike Dad’s crossword girlfriendDifferentNarrativeAlternative Life He doesn’t even realise, A mistake A loss – the will never win."
3 October,"Dear Anna I’m struggling to journal today, I think I feel low today and that’s why. I’m going to start with the positives. I saw Tom and Amy yesterday, I’m so happy that were friends outside of work. Both of them are really important to me. Tom is so kind and protective and Amy is really compassionate and just understand me. I’m a little upset about how they were speaking about Paris, I’m going yo text her soon and go fro a drink. I feel like it might cause some drama but it sounds like she needs a friend. Uni is going really weel, I’m super engaged and I’m really excited I also got two A’s in my last project from 2nd Year. Which is great and Liverpool womens beat Arsenal on Sunday which is crazy! It would be silly to not admit that I feel low today because I’ve drank the last two nights and Friday I stayed at Camos too. But really I think I’m still sad about Jacob, its annoying because I don’t want it to be an issue. But my feelings are valid. It made me feel sad seeing Jacob talking to Sinead, not because either are in the wrong, if something happened with them, then II would be so angry. I know I’m not over Jacob yet and that’s fine. I want him to be happy, I think I’m scared he doesn’t have respect for me. I might talk to him about this. I’m going to try to understand why I feel like this because its been playing on my mind. To be fair its been really intrusive thoughts and that’s not what I want. Both me and Jacob have really been trying hard to be friends and I really apricate that. He also looked a little down at the party, I dunno if he was tired but it didn’t  look like it. I’ll remember to ask him on Friday. I think he struggles to see me and Tom be friends, it came up when we were together too. Looks like a lot of the reasons why I feel down could be resolved a bit if I spoke to Jacob about it. This is what I struggles with before because I miss having him around as a mate. I also really really miss Svenny at the moment, hopefully we can call soon. I’m gonna fill out my calendar for this month and I think it will make me feel better. Growth is uncomfortable but I am strong enough  love you – Anna"
5 October,"Today is Mum’s Birthday, I think She’s 61. I missed yesterday’s journaling because when I woke up I still felt down but Welsh Daisy was in our house about the spare room, I saw her, spoke to Beth and went into Camberwell to do some uni work. I got all my results back, all A’s. I’m so proud of myself. I worked really hard last year, even with all my mental health problems. I’m not sure if it was worth all the tears but still, very proud. Maybe I’ll get a first. Even if I don’t, I have learnt so much and found new passions. Young Anna would be so surprised that I’ve been coding. And I love it. I want to code something for my phone which will help me when I feel anxious. I feel a lot better today, I think because I saw Camo yesterday, I went to his for film club and he chose a straight film, WTF. What else has been going on? I felt anxious speaking in class today but it was actually really good. But I think I should work on it more because I have really interesting theories and its one of the reasons, I’m doing the diploma. I’ll work on it, its only the second week I’m not going to be too harsh on myself actually. I still feel overly attached to everyone but I actually want a bit of a chill birthday so it doesn’t matter too much if theyre not all there. I’m seeing Jacob tomorrow. I don’t know if I’ll tell him how I felt at the start of the week, probably depends how anxious I feel. Anyway, I love you, keep it up gurlie,Anna <3"
6 October,"Today is a new day. I woke up early this morning and went to play football with Jacob, he was waiting at Pear Tree for me, We walked around the pond and he kicked shit (literally) It was nice catching up with uni and he asked about my results. He seems interested in what I’m up to and I showed him ‘Strandbeest’. I hit the crossbar which I’ve been trying to do since we started playing football together and I even managed a few keepie uppies! We spent about 3 hours together and for once actually spoke about the break up and how it is being friends. I told him about Sinead and how it made me feel. He told me I should have just joined their conversation.Anna, I want you to remember what he said: ‘I will never try to hurt you’Even if he doesn’t stick to it he has told you, and when we have nothing we have our word. We argued a little but that is very normal for us. I think hes probably in the same place I am, just getting over the break up. He wants to give me my things back. Posters, yes. My orange painting, a plate my dad made + something else (…) He doesn’t want the painting to throw it away. He doesn’t want to bin it, but I said to put it in a box or in a bottle and throw it in the thames. I think he might do the latter. We spoke a lot about mental health etc and film club. I felt really good learning anf the sun was shining. I hope hes doing okay, he has his own mental health issues going on and he’ll talk about them when he’s ready. I still love him, but as a friend we spoke about dating other people and he told me he’s not ready to date yet but maybe for his gig hes going to. Once I got home I ate lunch and then my therapist called, she told me that she spoke to her supervisor and they want me to fill out a form to see if I have PTSD. She also wants me to go on the waiting list for CBT, which is 6 months long. Before that I’m going to partake in group therapy called ‘Overcoming Depression’ and can’t go to the in person sessions so its online at 10:30 on Fridays so I’m going to do 4 of them and check in again. I feel positive about it actually, it’s a long wait and I 6 months is the kind of deadline I gave myself to get better, but if it takes longer I am in no rush. I’m finally put my mental health first for me and it feels really good.n Lets see how it comes, I’m just taking each day one by one. Phoenix is gonna stay over tonight so I’m gonna clean my room. Today went exactly how I expected, maybe even better. love you (and I mean it) Don’t forget what I told you today, Lots of love Anna x"
7 October,"Dear Anna I am a priority in my life. My health and healing matter. I went out drinking last night, it was kinda worthless, I dunno I had 3 pints andI was a bit drunk but I would have enjoyed it the same if I was sober. I need to take better action in sobriety but I’m gonna start after my birthday. Drinking turns me into a kinda nasty person, not so bad I’ll give myself credit but I want to exsude more positive energy and I don’t think drinking helps with that but it’s a week until I can take a break. I want to redirect my internal dialogue back to myself again. I matter.Anyway, I love you, Enjoy your day, Anna X"
8 October,"Dear Anna,I’m struggling to get out of bed today. Its not too too bad because I already ate. But I cried this morning thinking about what would happen if he showed up on my birthday. Which is silly because he probably doesn’t know its my birthday and definitely doesn’t know where I live. He won’t be there and if he is its gonna be okay, I won’t be alone and I am strong enough to handle any situation thrown at me. Tomorrow is gonna be a good day surrounded by people you love and that love you. I really liked one of my affirmations today ‘I am perfect for myself, I don’t need to be perfect for anyone else’ I really want to be happy with myself. I caught myself over the weekend being nasty about the way I look and being self conscious about it. But am I beautiful. I have lovely skin, gorgeous eyes, perfectly messy hair and cute lil cheeks. My body is perfect the way it is and strong. My body holds me and comforts me and moves me through every experience my body has been there, it is scared by the good and the bad but it is mine and it is perfect. That was so easy to write compared to the 16th September. I had a really good time with Paris lasy night but I feel a bit depressed today. I think its because of the drinks.I love you Anna,Lets talk later X "
11 October,"Dear Anna, I had such a good birthday, I’m now 24! 25 next year WTF.  My birthday did feel kind of strange. I think it’s because I’m not super close with my new housemates. The night before and morning of felt a bit sombre. But I went to uni, saw Jonny, then Yaz, Phoenix and Camo joined us + Lily. We went pub hopping. Dariana, Sinead and Jacob joined us. Then Parris, Amy + Tom after. We came back to mine, and they sang me happy birthday. I have lots of friends, they love me.I feel a bit numb about it. Anna"
13 October,"Dear Anna,I think I had abit of the birthday blues. Me + Camo stayed at Phoenixs last night, it does make me feel better waking up with someone else there but I don’t want it to become a necessity. Later on I’m going to nico’s leaving drinks but first I have a lot to do because I’m off to scouseland tomorrow. Friday to do"
14 October,"Dear Anna, I’m on my way to Liverpool, I’m excited to see her. Mom message to tell me her friend poppy isn't doing well at the moment. So we'll see what happens when I'm there. I saw Jacob yesterday and we had a brew and a chat before we went to nico's drinks. We were an hour and a half later and phoenix asked if we'd ******* which I thought was funny because it wasn't anything like that. We actually had a really nice time and talked about the break up a bit. He is a very important part of my life and I hope he knows that. Anyway enjoy Liverpool you deserve to have some fun I love you Anna"
15 October,"match day Dear Anna, how you feeling today? Confused? Yeah me too. Had a lovely time in Liverpool, i really needed that break from london. It was really nice to see my sister in such a better place. Friends are really nice, even if I think they take the **** out of eccentricities. Liz I can tell is a really good friend and Anna too. My sister really cares for me she said she told her therapist but i want she wants to fix mine and my mom's relationship which was really hard to hear because it's complicated and I think I want it fixed to. Strange how a year ago I wanted to cut all ties. I have really ground so much recently. I am committed to the path of self love and self happiness. I also really wish Jacob was around. I'm stuck in in a state of moving on and wanting to fall in love with him again. I can't work out if it's him or the idea of him. I wish i knew where his head is at about it all of this. I'm going to redirect this energy in full falling in love with my beautiful self. Something I realised recently is that I will have to forgive (him) at some point to move on. And i'm not sure how too. I don't think he deserves forgiveness but I deserve peace for love and happiness. I deserve. I love. You. Wholly,Anna"
17 October,"Dear Anna, I've got my fucked head in an absolute state about Jacob man. I don't know what to do so I was feeling pretty good like I'm getting over it was kind of defending myself and my decisions more. And then I guess we had a nice time at his the other day and he's sending me fucking Rachel Chinrioni tickets, back to texting about pointless shite. Bus he's got this gig coming up which he made a hinge for come to find a day and I heard the music and she's  fucking great. So I got all worked up like I wanna go but I don't wanna seem weird or like making moves. I just wanna go to the gig if he's not going with anyone else. I feel kinda in limbo and I don’t know if I'm Deeping it too much Income worried if I get too close I'm gonna fall for him again and get myself hurt. I also kind of worried about sending mixed signals. I need to think about what I want realistically I don't care about the gig I would be anxious anyway. I want Jacob to be in my life but with enough space that I can grow and focus on myself. He really helpful understand my issues but then also I can't help but have some feelings towards him.new line I trust in myself to learn from previous experiences and to do what's best for me. lots of love. Anna"
18 October,"Dear Anna, I'm feeling quite good today actually I might do some uni work. Me and yours went to play 30 and I actually got a good night's sleep. My life is pretty slow at the moment but it still feels quite a lot. I'm just kind of going with the motion but I feel a bit stranger and I want to focus on myself I just have to work out how. I want to throw myself into uni and my practise.Things I want to feel comfortable in: myself I deserve respect I deserve love I am smart I have a lot to offer the world my voice should be heard I have talent I'm a hard worker I am beautiful  I'm strong minded I own my own opinions I am worthy companion I'm a good friend I love myself I am loved by others I deserve only healthy relationships It's OK to need help I am my own individual I deserve someone who would cross oceans for me I deserve open communication I'm capable of many things I can handle any situation that comes my way Whatever is meant to stay will stay I am kind and I believe that I deserve good things Anna"
19 October,I want to remember my dream
20 October,"This really fucking works. I remembered my dreams. The first one was a bit crazy we were at my house(my parents) with lots of people from London, Paris, Jacob, Cameron and Jacob uni mates. I should above water and ask Jay to open it'cause it would spray everywhere and it went over me. I also had loads of wedding dresses. One point someones dog, which look like pip naomi's dog attacked are chickens and Emily saved it. The second dream we were all sat around a dinner table and I was looking at old photos and behind me Jay whispered but I looked beautiful and then I zoomed in on everyone RJ looked like Jeffrey Dahmer and Anastasia looked beautiful as ever. Then he told me to go upstairs to his room and I got on top of him like we used to And then he said what we gonna do and I woke up.I can't believe how vivid they were beautiful they really. I wonder if you can dream likely? I'm in a kind of limbo but it makes sense actually.I need to get ready for my cool but I'm going to journal later love you, dreams and allAnna  First talking therapy where am I and what is going on?Reflect on own needs strategiesmaslow's hierarchy of need self actualization esteem needs belonging and love needs safety physiological needs Stephen Covey circle the seven habits of highly effective people 1989 within my control within my sphere of influence out of my controlcan control: how I take care of myself how I approach work what I read what I buy what I give my attention to, time and energy to cannot control: football economy natural disaster weather whatever people think of me if we try to change the uncontrollable we spend less time on the controllable and can make us feel worse five areas model: situation, thoughts, emotions, behaviour, physical sensations put your own oxygen mask on before others stress bucket relaxation: activate rest and restore counterbalance stress heart rate and respiration rates walk music five things see, four things here, three things feel, two things smell, one taste. Yoga Doodle Drawing Painting watching filmsprogressive muscle relaxation the need for focus -Worry management the need for balance-time management the need for connection - assertiveness"
21 October,"dear Anna,how are you sleepyhead? Today has been pretty sweet day actually. Last night me phoenix and Dariana went to the pub and run into yes housemates. We ended up in set where Dariana got too drunk and I bought her home. We spent the day doing hair and napping it was really relaxing actually. I had lots of thoughts about Jacob today but I'm gonna focus on myself and my happiness.I love you Anna"
22 October,I want to remember my dream I did not remember my dream and I slept for a really long time. Goals for today: go to charity shops buy  food cleaning supplies clean kitchen clean bathroom tidy room clean room cook dinner
23 October,"dear Anna, you didn't think I forgot about you did ya? Today I spent the day by myself and it was actually quite peaceful. I'm getting to a better place. The sad isn't so overwhelming. I'm really proud of myself. I'm ready to get back to work. I want to do more uni work and I feel more in control. I cleaned, cooked, 8, watched and looked after myself which may only be my physiological needs and safety but its stepping stones. love you Anna you deserve the world you're strong enough to handle anything that happens.Totally and wholly yoursAnnaI want to remember my dream, again I didn't remember my dream"
24 October,"Dear Anna, I’m  feeling really good today. Had a good time at uni, I feel rested, plans to see come later. I love you, enjoy this feeling you deserve it.Love, Anna, from head to toe."
25 October,"Dear Anna, It's time to find some motivation. We've slept late the last two days but you're in a good place to smash some work, make something, you are safe let's keep working on yourself. I might try to work  sheet out on what's on my mind. I don't really know how to use the work sheets but I guess well go to the exhibition and it will be fine I think I think he's trying to play some game but honestly I don't know I don't see him I only think this because of what Johnny said about the gig. I got a refocus on me again. Look after yourself today babe.Love you Anna Dear Anna, I know I can do better. Today wasn't the best mental health day. I stayed in my room when I could hear my house moves together which isn't like me. I think my meds are making me more tired. They definitely have lowered my sex drive. But the ups and downs I guess and more mellow by feel kind of numb today to be honest. I also haven't been replying to people or making that much effort to socialise but tomorrow I'm going to try better. My routine is more secure now so I might try stretch it and hello more exercise more schedule uni time. Baby steps. Love Anna"
27 October,"Dear Anna, Today has been a rough day I almost missed therapy and then I wasn't really engaged with it anyway then I showered and go back into bed till 3:00-ish. I ate some food. Then i went on a walk. It made me feel a lot better. Svenny told me she's glad that me and Jacob are friends because we have such a good friendship and it made me feel a lot better. I think I might do dry November.Lots of Love Anna"
30 October,"Good morning Anna, you've had a crazy weekend full of love and chatting shit or love for chatting shit. I also want to mention on Saturday you choose to look after yourself rather than please others and I'm so proud. This morning I woke up early because I wanted to wash my hair but instead I decided to check tonight or tomorrow but I meditated and cooked breaky. I feel ready to face a day whatever it throws at me.I love you, you're growing into the person we deserve to be. Who deserves love.Love Anna,XOXO Gossip Girl"
1 November,"Dear Jacob, this isn't meant for your eyes. To feel. With textured hands. I wish it was me. Waking up next to you. Hearing your ideas and thoughts. I really did love you, always did. I need to let you go the future is calling pastors gone and presents it has arrived. You would cringe reading this luckily it's for me and not for you. I was never truly open with you. I couldn't trust you, that was more your fault than mine. I am a soppy cunt. I love the idea of us but it's time to let go. I can't imagine you turning up with flowers anymore. That's all you had to do. £2.49 from Lidl. I'm sorry but I think I run out of excuses. Your friendship is important to me but not as important as my worthiness for love. I deserve to be cherished. You can see it. Thank you for everything but it's time I love myself I was yours hands and all. I wanted to give you the world I would have given you mine. love you, Anna Dear Anna,So I cried 11 times in October I'm quite proud of that actually. I stayed at Cameron's last night. It was me, Cameron, phoenix, Jacob and dariana. Dariana shouted at me to stop kidding myself about quitting smoking and I'm an addict. It made me feel really **** about myself. She also mentioned that Jacob had been on a day which in fairness I did already know about but made me feel really uncomfortable I don't care that jacob's dating but talking about it in front of me was uncalled for. I feel like it was unnecessary. Jacob will tell me if this morning he was to tell me about it's not her place. I'm happy to see that the way I'm dealing with it but it did make me feel awful yesterday. I'm acknowledging them and feeling them.I love you – forever. Anna x"
2 November,"I stayed in mile end the last two nights and had such a good time. I was upset yesterday about what doriana I said but then I went to see Tom, Paris and Amy with Cameron and phoenix and we had the best time. I haven't laughed so hard in ages. I came back home and went to the cinema with Lily and Sinead. We watched paul Mescal get vacuum packed in foe. Which I thought was really good love a good sci-fi me. I just realised that the Anna I write to is future Anna Because she reads this. Sometimes getting the pronouns and the tenses right is difficult. But here we are. You know I think my meds are working. I feel a lot better, still out of control sometimes but it's way more manageable. Camo called me donkey from Shrek earlier - make sense.I'm a bit anxious for tomorrow so I'm going to plan my day also tomorrow try the meditation and put way too much love and care into it "
3 November,"Therapy – Balance Not giving ourselves time to see betterhow to break this cycle thoughts behaviour value compass - how you want to live your life important out of 10 recently truth value out of 10 goal setting: routine necessary pleasure Smart Goal: Specific Measurable Attractive Realistic time limited
activity diary thought traps: all or nothing mental filter prediction/mind reading over generalisation compare and despair emotional reasoning thoughts so far get in the way."
5 November,"Dear Anna,I hope you're doing well. I've been doing a lot better. Struggling to concentrate today but it's Sunday. And proud of myself I stayed at phoenix's last night and said night two parties which is really good because I drank twice this week three times actually I had beers on Halloween. I also did coke once and smoked twice. I'm going to try re focus on sobriety this week. But today I went to borough market and walked home. I bought myself flowers on the way. I'm going to try and organise my week now so I know what to expect.I'm so proud of youlots of love Anna"
6 November,"Dear Anna,how much do you love yourself? Do you think there will be a day without self doubt? The future is looking bright. Each day I grow prouder. I take more action to better myself and look after myself. In two months i did not think i would be here saying no to spontaneous nights all so that I could stay in and have alone time. I hid my phone from myself who evening and I wasn’t even bothered. Have a busy schedule this week but I am very excited and I know I can manage it. I still haven't been to the gym or done that much uni work but it comes with time. I had an interview today and wasn't that nervous didn't need any propanolo. I have a doctor's appointment tomorrow morning. I'm really proud of my progress. I don't know if I should tell Jacob we can't be friends anymore. The truth is I don't want to hurt his feelings but I'm going to hurt mine more in the long run. Everyone was so happy we could remain friends but I know it's gonna kill me seeing him with someone else. Hearing about him and anastasia's I have to be nice. I need to talk to him about this.Anna, I know you will do the right thing but make sure you do it for you.Love you a million times over,Anna"
7 November,"Dear Anna,I went to the doctors this morning and she gave me a bit of a reality check. About starting work again. Christmas and new year's and also about alcohol. I have been doing really well recently but i don't want to sink back. It's absolutely OK to have a down day but what harm would amount of really working on myself too? If I'm gonna do this I want to commit.Goals: exercise twice a week drink once a week meditate every day journal every day I haven't committed yet . I wanna sleep on it to make sure. Ilove you and You're so strong Anna Dear Anna,I think today could be the best day of my life... Grow up with me….Today I vowed to grow old with you. There's people I will love for eternity and you will be one of them. Three years and always supporting. Always checking in. You are in my thoughts and I am in yours. A friendship for life, I love I will appreciate when I'm old. I will continue to grow. I have faith, in life and love. I am under your spell. I will tell you one day but for the moment it's sweet in my heart. You deserve a love like this.Forever yours till then,Anna"
10 November,"Dear Anna, I fell a bit down today. I did yesterday it's. I missed therapy this morning. I did have fun last night but I'm not sure this is the way I want to live anymore. When I feel sad I'm scared it's gonna get bad again. I think I should talk to phoenix this weekend first up I miss Jacob. It's fucked. Think about the future look forward to it. You surrounded by beautiful  amazing people. Show I'm working on myself for you. I can give myself a break. I've been so good recently. I have to do what was best for me. You know exactly what you need.Lots of Love,Anna"
13 November,"Dear Anna, I thought about the line about the date. I'm embarrassed by how I've slipped recently. But today is a new day. In a new our. In a new minute. Every breath in a new second. I want to get some women's that will help me feel less tired. I think organisations is going to be key over the next couple of weeks. And abstaining from drinking I know I keep saying that but how far will it go? Let's start easy. Plan tomorrow. Wake up at 8:00 AM UNI 9:30 to 1:30 lunch 1:30 to 2:30 reflect 230 to 3:30 feed job 3:30 to 4:30 clean room, plan week five to seven dinner 7 to 8 watch film 8:30 to 9:30 read 9:30 to 10:30 sleep 11 love you, you are strong Still 13th November – I’ve been busy 1 days soberDear Anna, I'm not hopeful about how that count will go on go for but there's no harm in tryingReasons to stop: I'm scared I will get in trouble it's embarrassing I'm convinced there's more to life my physical health will help me quit smoking I want to feel happier Fuck haniexty man, you're better than that For Matthew Perry and Amy Winehouse to name a few I want to see sober Anna, what can she achieve?What does she want to achieve?I haven't felt the runaway feeling for a while sometimes when I see someone but going to rationally trigger that but it wasn't too bad this time. You know I get so quiet after I've been drinking the next day is shit I also can't afford anymore.What to do instead: try all non alcoholic beers play cards drink juice practice breathing techniques"
14 November,"Plan: Set alarm 7:30Wake up: 8 Shower 9:30Walk 8-9Go to Camberwell 10-1Have lunch 1-2 Uni 2-6If Tom comesCook Dinner 7Smoke jointChat shit BedElse Cook dinner 6;30Watch Bake off 8Read/Film 9:30 -11Face mask?ReflectBedDon’t forget black trousersStop on way to Camberwell I am so proud of the progress I am making to become healthier + happiner 14 November Dear Anna, Today didn't exactly go to plan but I did have a good day and I was more present. Me Johnny and Lily had fun at uni and I saw yaz after which was so nice. I'm excited to start work tomorrow and I'm going to bed feeling tired but very loved. Super excited to see the others tomorrow. Going to make a quick plan tomorrow and read till I fall asleep.Love you lotsAnna"
15 November,"Dear Anna,I’m super Distracted recently, unable to focus. I think I feel a little overwhelmed with how much I have to do. And where to start. But all I need to do is do. 1st I need to turn Netflix off I'm scared of the quiet. OK I'm going to meditate. I feel more present but not productive."
